ticker,price,box_top,box_bottom,pct_above_box,vol_today,vol_avg_20d,vol_ratio,suggested_stop,target_30pct,risk_pct,rr_ratio,box_range_pct,ma20,ma_rising,price_vs_ma20_pct,score,grade,tier,emoji
TEVA,35.38,32.81,30.02,7.83,21242061,4783905,4.44,32.15,45.99,9.12,3.29,8.5,31.23,True,13.29,90,A+,CLEAN,🟢
ESI,42.56,41.2,36.57,3.3,8026824,2839720,2.83,40.38,55.33,5.13,5.85,11.24,37.7,True,12.88,80,B+,SOLID,🟡
CHEF,75.7,67.43,61.07,12.26,1210509,448270,2.7,66.08,98.41,12.71,2.36,9.43,64.24,True,17.84,79,B+,SOLID,🟡
COCO,66.95,53.34,45.85,25.52,5746269,1136330,5.06,52.27,87.03,21.92,1.37,14.04,49.92,True,34.11,78,B+,SOLID,🟡
RSI,27.98,24.67,20.76,13.42,6108030,1383130,4.42,24.18,36.37,13.59,2.21,15.85,22.91,True,22.14,78,B+,SOLID,🟡
EXTR,21.85,19.65,16.28,11.2,8299972,2496735,3.32,19.26,28.41,11.87,2.53,17.15,17.34,True,26.02,74,B,SOLID,🟡
ETSY,69.6,66.68,52.17,4.38,8873861,2731100,3.25,65.35,90.48,6.11,4.91,21.76,59.02,True,17.92,74,B,SOLID,🟡
DK,46.67,43.59,37.02,7.07,2749042,1228440,2.24,42.72,60.67,8.47,3.54,15.07,41.5,True,12.45,72,B,SOLID,🟡
CNC,53.98,49.99,36.42,7.98,17898425,5727145,3.13,48.99,70.17,9.24,3.25,27.15,39.44,True,36.88,71,B,SOLID,🟡
MXL,67.52,63.52,19.18,6.3,17231526,4544955,3.79,62.25,87.78,7.81,3.84,69.8,30.59,True,120.74,68,C+,MARGINAL,🟠
